"id","answer","example","examplelink","input","inputlink","mainprocess","question","subprocess","sub_id","template","templatelink","confirm_button","Column14","inputs","inputslink","Column13","realname","inputslist","Column15"
1,"",photo,photolink,,,재고자산,"회사의 재고자산 생산은 크게 몇가지 종류로 이루어져 있나요? 포도, 오렌지, 딸기, 바나나 음료를 제조하는 업체를 예를들자면, 제품이 4개라도, 포도, 오렌지의 제조공정이 유사하고, 딸기, 바나나가 유사하다면 두 개로 구분짓고, 아래의 그림처럼 입력을 하시면 됩니다.","0",,"",,그렇다면 생산 종류별로 아래를 작성 부탁 드립니다.,,textplus,"",,재고자산1,"",""
2,"","","",,,재고자산,"해당 재고자산 생산 프로세스를 크게 몇가지 공정으로 나누어져 있나요? ""공정 추가하기""를 활용하여 회사에 맞게 세팅하여 주세요","1",1,html,,다음질문 작성 부탁 드립니다.,,"","",,재고자산2,"",""
3,"","","",,,재고자산,전공정에서 재고가 넘어올때 어떠한 절차를 통하여 현재공정으로 넘어오나요,"3",,html,,"",,textplus,"",,재고자산3,"",""
4,"","","",,,재고자산,전공정의 output 수량과 현재공정의 input 수량을 어떤식으로 확인하나요,"3",,html,,"",,textplus,"",,재고자산4,"",""
5,"","","",,,재고자산,다음공정으로 넘길때 어떠한 절차를 통하여 다음공정으로 넘어가나요,"3",,html,,"",,textplus,"",,재고자산5,"",""
6,"","","",,,재고자산,현재공정의 output 수량과 다음공정의 input 수량을 어떤식으로 확인하나요,"3",,html,,"",,textplus,"",,재고자산6,"",""
7,"","","",,,재고자산,다음공정으로 넘길때 승인절차가 있나요,"3",,html,,"",,textplus,"",,재고자산7,"",""
8,"","","",,,재고자산,"혹시 재고자산 생산과정에서 어떤 의사결정을 위해서든 의사결정을 위한 의사결정기구 같은게 있나요?(이사회, 운영위원회 등)","2",2,"",,다음질문 작성 부탁 드립니다.,,textplus,decision,,재고자산8,"",""
9,"","","",,,재고자산,"혹시 재고자산 생산과정에서, 사용하고 있는 시스템이 있나요? 회사 인트라넷, SAP, 메일 등을 의미하며, 여러 개를 사용하는 경우 여러 개를 추가해주시면 됩니다. ","2",3,"",,재고자산에 대한 프로세스가 확정되었습니다. 상세질문서를 작성 부탁 드립니다.,,textplus,system,,재고자산9,"",""
10,"",photo,photolink,,,구매,"회사의 구매방식은 크게 몇가지 종류로 이루어져 있나요? 포도, 오렌지, 딸기, 바나나를 구매하는 업체로 예를들자면, 물품이 4개더라도, 포도, 오렌지의 구매방식이 유사하고, 딸기, 바나나가 유사하다면 두 개로 구분짓고, 아래의 그림처럼 입력을 하시면 됩니다.","0",,"",,그렇다면 구매 유형별로 아래를 작성 부탁 드립니다.,,textplus,"",,구매1,"",""
11,"","","",,,구매,해당 구매 프로세스는 어떤 팀에서 담당을 하고 있나요? ,"2",5,"",,"",,textplus,team,,구매2,"",""
12,"","","",,,구매,"혹시 구매과정에서 어떤 의사결정을 위해서든 의사결정을 위한 의사결정기구 같은게 있나요?(이사회, 운영위원회 등)","2",6,"",,"",,textplus,decision,,구매3,"",""
13,"","","",,,구매,"혹시 구매과정에서, 사용하고 있는 시스템이 있나요? 회사 인트라넷, SAP, 메일 등을 의미하며, 여러 개를 사용하는 경우 여러 개를 추가해주시면 됩니다. ","2",7,"",,"",,textplus,system,,구매4,"",""
